php-apache,Deployment/php-apache,16%/50%,3,6,3,70s
idx,71,LOG_TIME,2023-05-18T05:14:53,2023-05-18T00:14:53,-,-
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
php-apache,Deployment/php-apache,16%/50%,3,6,3,71s
idx,72,LOG_TIME,2023-05-18T05:14:54,2023-05-18T00:14:54,-,-
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
php-apache,Deployment/php-apache,16%/50%,3,6,3,72s
idx,73,LOG_TIME,2023-05-18T05:14:55,2023-05-18T00:14:55,-,-
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
php-apache,Deployment/php-apache,16%/50%,3,6,3,73s
idx,74,LOG_TIME,2023-05-18T05:14:56,2023-05-18T00:14:56,-,-
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
php-apache,Deployment/php-apache,16%/50%,3,6,3,74s
idx,75,LOG_TIME,2023-05-18T05:14:57,2023-05-18T00:14:57,-,-
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
php-apache,Deployment/php-apache,16%/50%,3,6,3,75s
idx,76,LOG_TIME,2023-05-18T05:14:58,2023-05-18T00:14:58,-,-
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
php-apache,Deployment/php-apache,114%/50%,3,6,3,76s
idx,77,LOG_TIME,2023-05-18T05:14:59,2023-05-18T00:14:59,-,-
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
php-apache,Deployment/php-apache,114%/50%,3,6,3,77s
idx,78,LOG_TIME,2023-05-18T05:15:00,2023-05-18T00:15:00,-,-
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
php-apache,Deployment/php-apache,114%/50%,3,6,3,78s
idx,79,LOG_TIME,2023-05-18T05:15:01,2023-05-18T00:15:01,-,-
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
php-apache,Deployment/php-apache,114%/50%,3,6,3,79s
idx,80,LOG_TIME,2023-05-18T05:15:02,2023-05-18T00:15:02,-,-
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
php-apache,Deployment/php-apache,114%/50%,3,6,3,80s
idx,81,LOG_TIME,2023-05-18T05:15:03,2023-05-18T00:15:03,-,-
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
php-apache,Deployment/php-apache,114%/50%,3,6,3,81s
idx,82,LOG_TIME,2023-05-18T05:15:04,2023-05-18T00:15:04,-,-
