kind-worker2,53m,0%,389Mi,4%,
kind-worker3,32m,0%,370Mi,4%,
idx,52,LOG_TIME,2023-05-01T08:24:44,2023-05-01T03:24:44
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1028m,12%,1349Mi,16%,
kind-worker,40m,0%,342Mi,4%,
kind-worker2,53m,0%,389Mi,4%,
kind-worker3,32m,0%,370Mi,4%,
idx,53,LOG_TIME,2023-05-01T08:24:44,2023-05-01T03:24:44
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1028m,12%,1349Mi,16%,
kind-worker,40m,0%,342Mi,4%,
kind-worker2,53m,0%,389Mi,4%,
kind-worker3,32m,0%,370Mi,4%,
idx,54,LOG_TIME,2023-05-01T08:24:44,2023-05-01T03:24:44
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1028m,12%,1349Mi,16%,
kind-worker,40m,0%,342Mi,4%,
kind-worker2,53m,0%,389Mi,4%,
kind-worker3,32m,0%,370Mi,4%,
idx,55,LOG_TIME,2023-05-01T08:24:44,2023-05-01T03:24:44
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1028m,12%,1349Mi,16%,
kind-worker,40m,0%,342Mi,4%,
kind-worker2,53m,0%,389Mi,4%,
kind-worker3,32m,0%,370Mi,4%,
idx,56,LOG_TIME,2023-05-01T08:24:44,2023-05-01T03:24:44
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1028m,12%,1349Mi,16%,
kind-worker,40m,0%,342Mi,4%,
kind-worker2,53m,0%,389Mi,4%,
kind-worker3,32m,0%,370Mi,4%,
idx,57,LOG_TIME,2023-05-01T08:24:44,2023-05-01T03:24:44
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1013m,12%,1343Mi,16%,
kind-worker,42m,0%,341Mi,4%,
kind-worker2,51m,0%,390Mi,4%,
kind-worker3,46m,0%,370Mi,4%,
idx,58,LOG_TIME,2023-05-01T08:24:44,2023-05-01T03:24:44
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1013m,12%,1343Mi,16%,
kind-worker,42m,0%,341Mi,4%,
kind-worker2,51m,0%,390Mi,4%,
kind-worker3,46m,0%,370Mi,4%,
idx,59,LOG_TIME,2023-05-01T08:24:44,2023-05-01T03:24:44
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1013m,12%,1343Mi,16%,
kind-worker,42m,0%,341Mi,4%,
kind-worker2,51m,0%,390Mi,4%,
kind-worker3,46m,0%,370Mi,4%,
idx,60,LOG_TIME,2023-05-01T08:24:44,2023-05-01T03:24:44
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1013m,12%,1343Mi,16%,
kind-worker,42m,0%,341Mi,4%,
kind-worker2,51m,0%,390Mi,4%,
kind-worker3,46m,0%,370Mi,4%,
idx,61,LOG_TIME,2023-05-01T08:24:44,2023-05-01T03:24:44
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1013m,12%,1343Mi,16%,
kind-worker,42m,0%,341Mi,4%,
kind-worker2,51m,0%,390Mi,4%,
kind-worker3,46m,0%,370Mi,4%,
idx,62,LOG_TIME,2023-05-01T08:24:44,2023-05-01T03:24:44
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1013m,12%,1343Mi,16%,
kind-worker,42m,0%,341Mi,4%,
kind-worker2,51m,0%,390Mi,4%,
kind-worker3,46m,0%,370Mi,4%,
idx,63,LOG_TIME,2023-05-01T08:24:44,2023-05-01T03:24:44
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1013m,12%,1343Mi,16%,
kind-worker,42m,0%,341Mi,4%,
kind-worker2,51m,0%,390Mi,4%,
kind-worker3,46m,0%,370Mi,4%,
idx,64,LOG_TIME,2023-05-01T08:24:44,2023-05-01T03:24:44
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1013m,12%,1343Mi,16%,
kind-worker,42m,0%,341Mi,4%,
kind-worker2,51m,0%,390Mi,4%,
kind-worker3,46m,0%,370Mi,4%,
idx,65,LOG_TIME,2023-05-01T08:24:44,2023-05-01T03:24:44
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
