NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1127m,14%,741Mi,9%,
kind-worker,352m,4%,336Mi,4%,
kind-worker2,359m,4%,321Mi,4%,
idx,81,LOG_TIME,2024-01-13T22:51:01,2024-01-13T16:51:01,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1127m,14%,741Mi,9%,
kind-worker,352m,4%,336Mi,4%,
kind-worker2,359m,4%,321Mi,4%,
idx,82,LOG_TIME,2024-01-13T22:51:02,2024-01-13T16:51:02,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1127m,14%,741Mi,9%,
kind-worker,352m,4%,336Mi,4%,
kind-worker2,359m,4%,321Mi,4%,
idx,83,LOG_TIME,2024-01-13T22:51:03,2024-01-13T16:51:03,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1127m,14%,741Mi,9%,
kind-worker,352m,4%,336Mi,4%,
kind-worker2,359m,4%,321Mi,4%,
idx,84,LOG_TIME,2024-01-13T22:51:04,2024-01-13T16:51:04,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1127m,14%,741Mi,9%,
kind-worker,352m,4%,336Mi,4%,
kind-worker2,359m,4%,321Mi,4%,
idx,85,LOG_TIME,2024-01-13T22:51:05,2024-01-13T16:51:05,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1122m,14%,745Mi,9%,
kind-worker,356m,4%,339Mi,4%,
kind-worker2,340m,4%,323Mi,4%,
idx,86,LOG_TIME,2024-01-13T22:51:06,2024-01-13T16:51:06,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1122m,14%,745Mi,9%,
kind-worker,356m,4%,339Mi,4%,
kind-worker2,340m,4%,323Mi,4%,
idx,87,LOG_TIME,2024-01-13T22:51:07,2024-01-13T16:51:07,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1122m,14%,745Mi,9%,
kind-worker,356m,4%,339Mi,4%,
kind-worker2,340m,4%,323Mi,4%,
idx,88,LOG_TIME,2024-01-13T22:51:08,2024-01-13T16:51:08,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1122m,14%,745Mi,9%,
kind-worker,356m,4%,339Mi,4%,
kind-worker2,340m,4%,323Mi,4%,
idx,89,LOG_TIME,2024-01-13T22:51:09,2024-01-13T16:51:09,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1122m,14%,745Mi,9%,
kind-worker,356m,4%,339Mi,4%,
kind-worker2,340m,4%,323Mi,4%,
idx,90,LOG_TIME,2024-01-13T22:51:10,2024-01-13T16:51:10,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1122m,14%,745Mi,9%,
kind-worker,356m,4%,339Mi,4%,
kind-worker2,340m,4%,323Mi,4%,
idx,91,LOG_TIME,2024-01-13T22:51:11,2024-01-13T16:51:11,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1122m,14%,745Mi,9%,
kind-worker,356m,4%,339Mi,4%,
kind-worker2,340m,4%,323Mi,4%,
idx,92,LOG_TIME,2024-01-13T22:51:12,2024-01-13T16:51:12,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1122m,14%,745Mi,9%,
kind-worker,356m,4%,339Mi,4%,
kind-worker2,340m,4%,323Mi,4%,
idx,93,LOG_TIME,2024-01-13T22:51:13,2024-01-13T16:51:13,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1122m,14%,745Mi,9%,
kind-worker,356m,4%,339Mi,4%,
kind-worker2,340m,4%,323Mi,4%,
idx,94,LOG_TIME,2024-01-13T22:51:14,2024-01-13T16:51:14,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1122m,14%,745Mi,9%,
kind-worker,356m,4%,339Mi,4%,
kind-worker2,340m,4%,323Mi,4%,
idx,95,LOG_TIME,2024-01-13T22:51:15,2024-01-13T16:51:15,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1101m,13%,744Mi,9%,
kind-worker,370m,4%,337Mi,4%,
kind-worker2,341m,4%,322Mi,4%,
idx,96,LOG_TIME,2024-01-13T22:51:16,2024-01-13T16:51:16,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1101m,13%,744Mi,9%,
kind-worker,370m,4%,337Mi,4%,
kind-worker2,341m,4%,322Mi,4%,
idx,97,LOG_TIME,2024-01-13T22:51:17,2024-01-13T16:51:17,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1101m,13%,744Mi,9%,
kind-worker,370m,4%,337Mi,4%,
kind-worker2,341m,4%,322Mi,4%,
idx,98,LOG_TIME,2024-01-13T22:51:18,2024-01-13T16:51:18,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1101m,13%,744Mi,9%,
