kind-control-plane,383m,4%,839Mi,10%,
kind-worker,146m,1%,302Mi,3%,
kind-worker2,50m,0%,298Mi,3%,
kind-worker3,140m,1%,296Mi,3%,
idx,51,LOG_TIME,2023-05-14T19:15:22,2023-05-14T14:15:22
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,383m,4%,839Mi,10%,
kind-worker,146m,1%,302Mi,3%,
kind-worker2,50m,0%,298Mi,3%,
kind-worker3,140m,1%,296Mi,3%,
idx,52,LOG_TIME,2023-05-14T19:15:23,2023-05-14T14:15:23
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,383m,4%,839Mi,10%,
kind-worker,146m,1%,302Mi,3%,
kind-worker2,50m,0%,298Mi,3%,
kind-worker3,140m,1%,296Mi,3%,
idx,53,LOG_TIME,2023-05-14T19:15:24,2023-05-14T14:15:24
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,404m,5%,840Mi,10%,
kind-worker,144m,1%,301Mi,3%,
kind-worker2,107m,1%,302Mi,3%,
kind-worker3,154m,1%,296Mi,3%,
idx,54,LOG_TIME,2023-05-14T19:15:25,2023-05-14T14:15:25
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,404m,5%,840Mi,10%,
kind-worker,144m,1%,301Mi,3%,
kind-worker2,107m,1%,302Mi,3%,
kind-worker3,154m,1%,296Mi,3%,
idx,55,LOG_TIME,2023-05-14T19:15:26,2023-05-14T14:15:26
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,404m,5%,840Mi,10%,
kind-worker,144m,1%,301Mi,3%,
kind-worker2,107m,1%,302Mi,3%,
kind-worker3,154m,1%,296Mi,3%,
idx,56,LOG_TIME,2023-05-14T19:15:27,2023-05-14T14:15:27
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,404m,5%,840Mi,10%,
kind-worker,144m,1%,301Mi,3%,
kind-worker2,107m,1%,302Mi,3%,
kind-worker3,154m,1%,296Mi,3%,
idx,57,LOG_TIME,2023-05-14T19:15:28,2023-05-14T14:15:28
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,404m,5%,840Mi,10%,
kind-worker,144m,1%,301Mi,3%,
kind-worker2,107m,1%,302Mi,3%,
kind-worker3,154m,1%,296Mi,3%,
idx,58,LOG_TIME,2023-05-14T19:15:29,2023-05-14T14:15:29
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,404m,5%,840Mi,10%,
kind-worker,144m,1%,301Mi,3%,
kind-worker2,107m,1%,302Mi,3%,
kind-worker3,154m,1%,296Mi,3%,
idx,59,LOG_TIME,2023-05-14T19:15:30,2023-05-14T14:15:30
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,404m,5%,840Mi,10%,
kind-worker,144m,1%,301Mi,3%,
kind-worker2,107m,1%,302Mi,3%,
kind-worker3,154m,1%,296Mi,3%,
