kind-worker3,139m,1%,304Mi,3%,
idx,67,LOG_TIME,2023-09-15T20:02:53,2023-09-15T15:02:53,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1179m,14%,806Mi,10%,
kind-worker,146m,1%,327Mi,4%,
kind-worker2,158m,1%,304Mi,3%,
kind-worker3,139m,1%,304Mi,3%,
idx,68,LOG_TIME,2023-09-15T20:02:54,2023-09-15T15:02:54,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1179m,14%,806Mi,10%,
kind-worker,146m,1%,327Mi,4%,
kind-worker2,158m,1%,304Mi,3%,
kind-worker3,139m,1%,304Mi,3%,
idx,69,LOG_TIME,2023-09-15T20:02:55,2023-09-15T15:02:55,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1179m,14%,806Mi,10%,
kind-worker,146m,1%,327Mi,4%,
kind-worker2,158m,1%,304Mi,3%,
kind-worker3,139m,1%,304Mi,3%,
idx,70,LOG_TIME,2023-09-15T20:02:56,2023-09-15T15:02:56,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1179m,14%,806Mi,10%,
kind-worker,146m,1%,327Mi,4%,
kind-worker2,158m,1%,304Mi,3%,
kind-worker3,139m,1%,304Mi,3%,
idx,71,LOG_TIME,2023-09-15T20:02:57,2023-09-15T15:02:57,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1179m,14%,806Mi,10%,
kind-worker,146m,1%,327Mi,4%,
kind-worker2,158m,1%,304Mi,3%,
kind-worker3,139m,1%,304Mi,3%,
idx,72,LOG_TIME,2023-09-15T20:02:58,2023-09-15T15:02:58,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1179m,14%,806Mi,10%,
kind-worker,146m,1%,327Mi,4%,
kind-worker2,158m,1%,304Mi,3%,
kind-worker3,139m,1%,304Mi,3%,
idx,73,LOG_TIME,2023-09-15T20:02:59,2023-09-15T15:02:59,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1272m,15%,804Mi,10%,
kind-worker,139m,1%,328Mi,4%,
kind-worker2,161m,2%,304Mi,3%,
kind-worker3,144m,1%,303Mi,3%,
idx,74,LOG_TIME,2023-09-15T20:03:00,2023-09-15T15:03:00,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1272m,15%,804Mi,10%,
kind-worker,139m,1%,328Mi,4%,
kind-worker2,161m,2%,304Mi,3%,
kind-worker3,144m,1%,303Mi,3%,
idx,75,LOG_TIME,2023-09-15T20:03:01,2023-09-15T15:03:01,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1272m,15%,804Mi,10%,
kind-worker,139m,1%,328Mi,4%,
kind-worker2,161m,2%,304Mi,3%,
kind-worker3,144m,1%,303Mi,3%,
idx,76,LOG_TIME,2023-09-15T20:03:02,2023-09-15T15:03:02,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1272m,15%,804Mi,10%,
kind-worker,139m,1%,328Mi,4%,
kind-worker2,161m,2%,304Mi,3%,
kind-worker3,144m,1%,303Mi,3%,
idx,77,LOG_TIME,2023-09-15T20:03:03,2023-09-15T15:03:03,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1272m,15%,804Mi,10%,
kind-worker,139m,1%,328Mi,4%,
kind-worker2,161m,2%,304Mi,3%,
kind-worker3,144m,1%,303Mi,3%,
idx,78,LOG_TIME,2023-09-15T20:03:04,2023-09-15T15:03:04,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1272m,15%,804Mi,10%,
kind-worker,139m,1%,328Mi,4%,
kind-worker2,161m,2%,304Mi,3%,
kind-worker3,144m,1%,303Mi,3%,
idx,79,LOG_TIME,2023-09-15T20:03:05,2023-09-15T15:03:05,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1272m,15%,804Mi,10%,
kind-worker,139m,1%,328Mi,4%,
kind-worker2,161m,2%,304Mi,3%,
kind-worker3,144m,1%,303Mi,3%,
idx,80,LOG_TIME,2023-09-15T20:03:06,2023-09-15T15:03:06,-
