kind-worker3,39m,0%,312Mi,3%,
idx,60,LOG_TIME,2023-08-30T04:48:03,2023-08-29T23:48:03,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1798m,22%,843Mi,10%,
kind-worker,165m,2%,427Mi,5%,
kind-worker2,60m,0%,329Mi,4%,
kind-worker3,39m,0%,312Mi,3%,
idx,61,LOG_TIME,2023-08-30T04:48:04,2023-08-29T23:48:04,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1798m,22%,843Mi,10%,
kind-worker,165m,2%,427Mi,5%,
kind-worker2,60m,0%,329Mi,4%,
kind-worker3,39m,0%,312Mi,3%,
idx,62,LOG_TIME,2023-08-30T04:48:05,2023-08-29T23:48:05,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1798m,22%,843Mi,10%,
kind-worker,165m,2%,427Mi,5%,
kind-worker2,60m,0%,329Mi,4%,
kind-worker3,39m,0%,312Mi,3%,
idx,63,LOG_TIME,2023-08-30T04:48:06,2023-08-29T23:48:06,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1798m,22%,843Mi,10%,
kind-worker,165m,2%,427Mi,5%,
kind-worker2,60m,0%,329Mi,4%,
kind-worker3,39m,0%,312Mi,3%,
idx,64,LOG_TIME,2023-08-30T04:48:07,2023-08-29T23:48:07,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1798m,22%,843Mi,10%,
kind-worker,165m,2%,427Mi,5%,
kind-worker2,60m,0%,329Mi,4%,
kind-worker3,39m,0%,312Mi,3%,
idx,65,LOG_TIME,2023-08-30T04:48:08,2023-08-29T23:48:08,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1798m,22%,843Mi,10%,
kind-worker,165m,2%,427Mi,5%,
kind-worker2,60m,0%,329Mi,4%,
kind-worker3,39m,0%,312Mi,3%,
idx,66,LOG_TIME,2023-08-30T04:48:09,2023-08-29T23:48:09,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1765m,22%,852Mi,10%,
kind-worker,159m,1%,429Mi,5%,
kind-worker2,56m,0%,329Mi,4%,
kind-worker3,43m,0%,314Mi,3%,
idx,67,LOG_TIME,2023-08-30T04:48:10,2023-08-29T23:48:10,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1765m,22%,852Mi,10%,
kind-worker,159m,1%,429Mi,5%,
kind-worker2,56m,0%,329Mi,4%,
kind-worker3,43m,0%,314Mi,3%,
idx,68,LOG_TIME,2023-08-30T04:48:11,2023-08-29T23:48:11,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1765m,22%,852Mi,10%,
kind-worker,159m,1%,429Mi,5%,
kind-worker2,56m,0%,329Mi,4%,
kind-worker3,43m,0%,314Mi,3%,
idx,69,LOG_TIME,2023-08-30T04:48:12,2023-08-29T23:48:12,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1765m,22%,852Mi,10%,
kind-worker,159m,1%,429Mi,5%,
kind-worker2,56m,0%,329Mi,4%,
kind-worker3,43m,0%,314Mi,3%,
idx,70,LOG_TIME,2023-08-30T04:48:13,2023-08-29T23:48:13,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1765m,22%,852Mi,10%,
kind-worker,159m,1%,429Mi,5%,
kind-worker2,56m,0%,329Mi,4%,
kind-worker3,43m,0%,314Mi,3%,
idx,71,LOG_TIME,2023-08-30T04:48:14,2023-08-29T23:48:14,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1765m,22%,852Mi,10%,
kind-worker,159m,1%,429Mi,5%,
kind-worker2,56m,0%,329Mi,4%,
kind-worker3,43m,0%,314Mi,3%,
idx,72,LOG_TIME,2023-08-30T04:48:15,2023-08-29T23:48:15,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1765m,22%,852Mi,10%,
kind-worker,159m,1%,429Mi,5%,
kind-worker2,56m,0%,329Mi,4%,
kind-worker3,43m,0%,314Mi,3%,
