kind-worker,144m,1%,277Mi,3%,
kind-worker2,61m,0%,219Mi,2%,
kind-worker3,36m,0%,192Mi,2%,
idx,66,LOG_TIME,2023-05-14T14:51:09,2023-05-14T09:51:09
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,369m,4%,1086Mi,13%,
kind-worker,144m,1%,277Mi,3%,
kind-worker2,61m,0%,219Mi,2%,
kind-worker3,36m,0%,192Mi,2%,
idx,67,LOG_TIME,2023-05-14T14:51:10,2023-05-14T09:51:10
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,369m,4%,1086Mi,13%,
kind-worker,144m,1%,277Mi,3%,
kind-worker2,61m,0%,219Mi,2%,
kind-worker3,36m,0%,192Mi,2%,
idx,68,LOG_TIME,2023-05-14T14:51:11,2023-05-14T09:51:11
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,369m,4%,1086Mi,13%,
kind-worker,144m,1%,277Mi,3%,
kind-worker2,61m,0%,219Mi,2%,
kind-worker3,36m,0%,192Mi,2%,
idx,69,LOG_TIME,2023-05-14T14:51:12,2023-05-14T09:51:12
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,369m,4%,1086Mi,13%,
kind-worker,144m,1%,277Mi,3%,
kind-worker2,61m,0%,219Mi,2%,
kind-worker3,36m,0%,192Mi,2%,
idx,70,LOG_TIME,2023-05-14T14:51:13,2023-05-14T09:51:13
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,369m,4%,1086Mi,13%,
kind-worker,144m,1%,277Mi,3%,
kind-worker2,61m,0%,219Mi,2%,
kind-worker3,36m,0%,192Mi,2%,
idx,71,LOG_TIME,2023-05-14T14:51:14,2023-05-14T09:51:14
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,369m,4%,1086Mi,13%,
kind-worker,144m,1%,277Mi,3%,
kind-worker2,61m,0%,219Mi,2%,
kind-worker3,36m,0%,192Mi,2%,
idx,72,LOG_TIME,2023-05-14T14:51:15,2023-05-14T09:51:15
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,351m,4%,1084Mi,13%,
kind-worker,148m,1%,275Mi,3%,
kind-worker2,58m,0%,220Mi,2%,
kind-worker3,42m,0%,192Mi,2%,
idx,73,LOG_TIME,2023-05-14T14:51:16,2023-05-14T09:51:16
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,351m,4%,1084Mi,13%,
kind-worker,148m,1%,275Mi,3%,
kind-worker2,58m,0%,220Mi,2%,
kind-worker3,42m,0%,192Mi,2%,
idx,74,LOG_TIME,2023-05-14T14:51:17,2023-05-14T09:51:17
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,351m,4%,1084Mi,13%,
kind-worker,148m,1%,275Mi,3%,
kind-worker2,58m,0%,220Mi,2%,
kind-worker3,42m,0%,192Mi,2%,
idx,75,LOG_TIME,2023-05-14T14:51:18,2023-05-14T09:51:18
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,351m,4%,1084Mi,13%,
kind-worker,148m,1%,275Mi,3%,
kind-worker2,58m,0%,220Mi,2%,
kind-worker3,42m,0%,192Mi,2%,
idx,76,LOG_TIME,2023-05-14T14:51:19,2023-05-14T09:51:19
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,351m,4%,1084Mi,13%,
kind-worker,148m,1%,275Mi,3%,
kind-worker2,58m,0%,220Mi,2%,
kind-worker3,42m,0%,192Mi,2%,
idx,77,LOG_TIME,2023-05-14T14:51:20,2023-05-14T09:51:20
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,351m,4%,1084Mi,13%,
kind-worker,148m,1%,275Mi,3%,
kind-worker2,58m,0%,220Mi,2%,
kind-worker3,42m,0%,192Mi,2%,
idx,78,LOG_TIME,2023-05-14T14:51:21,2023-05-14T09:51:21
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,351m,4%,1084Mi,13%,
kind-worker,148m,1%,275Mi,3%,
kind-worker2,58m,0%,220Mi,2%,
kind-worker3,42m,0%,192Mi,2%,
idx,79,LOG_TIME,2023-05-14T14:51:22,2023-05-14T09:51:22
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,351m,4%,1084Mi,13%,
kind-worker,148m,1%,275Mi,3%,
kind-worker2,58m,0%,220Mi,2%,
kind-worker3,42m,0%,192Mi,2%,
idx,80,LOG_TIME,2023-05-14T14:51:23,2023-05-14T09:51:23
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,351m,4%,1084Mi,13%,
kind-worker,148m,1%,275Mi,3%,
kind-worker2,58m,0%,220Mi,2%,
kind-worker3,42m,0%,192Mi,2%,
idx,81,LOG_TIME,2023-05-14T14:51:24,2023-05-14T09:51:24
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,351m,4%,1084Mi,13%,
kind-worker,148m,1%,275Mi,3%,
kind-worker2,58m,0%,220Mi,2%,
kind-worker3,42m,0%,192Mi,2%,
idx,82,LOG_TIME,2023-05-14T14:51:25,2023-05-14T14:51:25
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,414m,5%,1087Mi,13%,
kind-worker,144m,1%,274Mi,3%,
kind-worker2,339m,4%,229Mi,2%,
kind-worker3,563m,7%,212Mi,2%,
