NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1257m,15%,864Mi,10%,
kind-worker,247m,3%,386Mi,4%,
kind-worker2,153m,1%,342Mi,4%,
kind-worker3,256m,3%,398Mi,4%,
idx,62,LOG_TIME,2023-09-19T17:02:51,2023-09-19T12:02:51,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1257m,15%,864Mi,10%,
kind-worker,247m,3%,386Mi,4%,
kind-worker2,153m,1%,342Mi,4%,
kind-worker3,256m,3%,398Mi,4%,
idx,63,LOG_TIME,2023-09-19T17:02:53,2023-09-19T12:02:53,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1257m,15%,864Mi,10%,
kind-worker,247m,3%,386Mi,4%,
kind-worker2,153m,1%,342Mi,4%,
kind-worker3,256m,3%,398Mi,4%,
idx,64,LOG_TIME,2023-09-19T17:02:54,2023-09-19T12:02:54,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1257m,15%,864Mi,10%,
kind-worker,247m,3%,386Mi,4%,
kind-worker2,153m,1%,342Mi,4%,
kind-worker3,256m,3%,398Mi,4%,
idx,65,LOG_TIME,2023-09-19T17:02:55,2023-09-19T12:02:55,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1257m,15%,864Mi,10%,
kind-worker,247m,3%,386Mi,4%,
kind-worker2,153m,1%,342Mi,4%,
kind-worker3,256m,3%,398Mi,4%,
idx,66,LOG_TIME,2023-09-19T17:02:56,2023-09-19T12:02:56,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1257m,15%,864Mi,10%,
kind-worker,247m,3%,386Mi,4%,
kind-worker2,153m,1%,342Mi,4%,
kind-worker3,256m,3%,398Mi,4%,
idx,67,LOG_TIME,2023-09-19T17:02:57,2023-09-19T12:02:57,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1257m,15%,864Mi,10%,
kind-worker,247m,3%,386Mi,4%,
kind-worker2,153m,1%,342Mi,4%,
kind-worker3,256m,3%,398Mi,4%,
