kind-control-plane,1294m,16%,823Mi,10%,
kind-worker,98m,1%,350Mi,4%,
kind-worker2,75m,0%,309Mi,3%,
kind-worker3,58m,0%,364Mi,4%,
idx,62,LOG_TIME,2023-09-19T08:14:26,2023-09-19T03:14:26,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1294m,16%,823Mi,10%,
kind-worker,98m,1%,350Mi,4%,
kind-worker2,75m,0%,309Mi,3%,
kind-worker3,58m,0%,364Mi,4%,
idx,63,LOG_TIME,2023-09-19T08:14:27,2023-09-19T03:14:27,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1294m,16%,823Mi,10%,
kind-worker,98m,1%,350Mi,4%,
kind-worker2,75m,0%,309Mi,3%,
kind-worker3,58m,0%,364Mi,4%,
idx,64,LOG_TIME,2023-09-19T08:14:28,2023-09-19T03:14:28,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1294m,16%,823Mi,10%,
kind-worker,98m,1%,350Mi,4%,
kind-worker2,75m,0%,309Mi,3%,
kind-worker3,58m,0%,364Mi,4%,
idx,65,LOG_TIME,2023-09-19T08:14:29,2023-09-19T03:14:29,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1260m,15%,822Mi,10%,
kind-worker,49m,0%,348Mi,4%,
kind-worker2,59m,0%,307Mi,3%,
kind-worker3,42m,0%,364Mi,4%,
idx,66,LOG_TIME,2023-09-19T08:14:30,2023-09-19T03:14:30,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1260m,15%,822Mi,10%,
kind-worker,49m,0%,348Mi,4%,
kind-worker2,59m,0%,307Mi,3%,
kind-worker3,42m,0%,364Mi,4%,
idx,67,LOG_TIME,2023-09-19T08:14:31,2023-09-19T03:14:31,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1260m,15%,822Mi,10%,
kind-worker,49m,0%,348Mi,4%,
kind-worker2,59m,0%,307Mi,3%,
kind-worker3,42m,0%,364Mi,4%,
idx,68,LOG_TIME,2023-09-19T08:14:32,2023-09-19T03:14:32,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1260m,15%,822Mi,10%,
kind-worker,49m,0%,348Mi,4%,
kind-worker2,59m,0%,307Mi,3%,
kind-worker3,42m,0%,364Mi,4%,
idx,69,LOG_TIME,2023-09-19T08:14:33,2023-09-19T03:14:33,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1260m,15%,822Mi,10%,
kind-worker,49m,0%,348Mi,4%,
kind-worker2,59m,0%,307Mi,3%,
kind-worker3,42m,0%,364Mi,4%,
idx,70,LOG_TIME,2023-09-19T08:14:34,2023-09-19T03:14:34,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1260m,15%,822Mi,10%,
kind-worker,49m,0%,348Mi,4%,
kind-worker2,59m,0%,307Mi,3%,
kind-worker3,42m,0%,364Mi,4%,
idx,71,LOG_TIME,2023-09-19T08:14:35,2023-09-19T03:14:35,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1260m,15%,822Mi,10%,
kind-worker,49m,0%,348Mi,4%,
kind-worker2,59m,0%,307Mi,3%,
kind-worker3,42m,0%,364Mi,4%,
idx,72,LOG_TIME,2023-09-19T08:14:36,2023-09-19T03:14:36,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1260m,15%,822Mi,10%,
kind-worker,49m,0%,348Mi,4%,
kind-worker2,59m,0%,307Mi,3%,
kind-worker3,42m,0%,364Mi,4%,
idx,73,LOG_TIME,2023-09-19T08:14:37,2023-09-19T03:14:38,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1260m,15%,822Mi,10%,
kind-worker,49m,0%,348Mi,4%,
kind-worker2,59m,0%,307Mi,3%,
kind-worker3,42m,0%,364Mi,4%,
idx,74,LOG_TIME,2023-09-19T08:14:39,2023-09-19T03:14:39,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1260m,15%,822Mi,10%,
kind-worker,49m,0%,348Mi,4%,
kind-worker2,59m,0%,307Mi,3%,
kind-worker3,42m,0%,364Mi,4%,
idx,75,LOG_TIME,2023-09-19T08:14:40,2023-09-19T03:14:40,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1296m,16%,822Mi,10%,
kind-worker,35m,0%,350Mi,4%,
kind-worker2,57m,0%,306Mi,3%,
kind-worker3,45m,0%,364Mi,4%,
idx,76,LOG_TIME,2023-09-19T08:14:41,2023-09-19T03:14:41,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1296m,16%,822Mi,10%,
kind-worker,35m,0%,350Mi,4%,
kind-worker2,57m,0%,306Mi,3%,
kind-worker3,45m,0%,364Mi,4%,
idx,77,LOG_TIME,2023-09-19T08:14:42,2023-09-19T03:14:42,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1296m,16%,822Mi,10%,
kind-worker,35m,0%,350Mi,4%,
kind-worker2,57m,0%,306Mi,3%,
kind-worker3,45m,0%,364Mi,4%,
idx,78,LOG_TIME,2023-09-19T08:14:43,2023-09-19T03:14:43,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1296m,16%,822Mi,10%,
kind-worker,35m,0%,350Mi,4%,
kind-worker2,57m,0%,306Mi,3%,
kind-worker3,45m,0%,364Mi,4%,
idx,79,LOG_TIME,2023-09-19T08:14:44,2023-09-19T03:14:44,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1296m,16%,822Mi,10%,
kind-worker,35m,0%,350Mi,4%,
kind-worker2,57m,0%,306Mi,3%,
kind-worker3,45m,0%,364Mi,4%,
idx,80,LOG_TIME,2023-09-19T08:14:45,2023-09-19T03:14:45,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1296m,16%,822Mi,10%,
kind-worker,35m,0%,350Mi,4%,
kind-worker2,57m,0%,306Mi,3%,
kind-worker3,45m,0%,364Mi,4%,
idx,81,LOG_TIME,2023-09-19T08:14:46,2023-09-19T03:14:46,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1296m,16%,822Mi,10%,
kind-worker,35m,0%,350Mi,4%,
kind-worker2,57m,0%,306Mi,3%,
kind-worker3,45m,0%,364Mi,4%,
idx,82,LOG_TIME,2023-09-19T08:14:47,2023-09-19T03:14:47,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1296m,16%,822Mi,10%,
kind-worker,35m,0%,350Mi,4%,
kind-worker2,57m,0%,306Mi,3%,
kind-worker3,45m,0%,364Mi,4%,
idx,83,LOG_TIME,2023-09-19T08:14:48,2023-09-19T03:14:48,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1296m,16%,822Mi,10%,
kind-worker,35m,0%,350Mi,4%,
kind-worker2,57m,0%,306Mi,3%,
kind-worker3,45m,0%,364Mi,4%,
idx,84,LOG_TIME,2023-09-19T08:14:49,2023-09-19T03:14:49,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1153m,14%,833Mi,10%,
kind-worker,213m,2%,373Mi,4%,
kind-worker2,106m,1%,309Mi,3%,
kind-worker3,197m,2%,343Mi,4%,
idx,85,LOG_TIME,2023-09-19T08:14:50,2023-09-19T03:14:50,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
