NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1199m,14%,1392Mi,17%,
kind-worker,46m,0%,368Mi,4%,
kind-worker2,163m,2%,414Mi,5%,
kind-worker3,51m,0%,395Mi,4%,
idx,47,LOG_TIME,2023-05-12T00:23:28,2023-05-12T00:23:28
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1199m,14%,1392Mi,17%,
kind-worker,46m,0%,368Mi,4%,
kind-worker2,163m,2%,414Mi,5%,
kind-worker3,51m,0%,395Mi,4%,
idx,48,LOG_TIME,2023-05-12T05:23:29,2023-05-12T00:23:29
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1199m,14%,1392Mi,17%,
kind-worker,46m,0%,368Mi,4%,
kind-worker2,163m,2%,414Mi,5%,
kind-worker3,51m,0%,395Mi,4%,
idx,49,LOG_TIME,2023-05-12T00:23:30,2023-05-12T00:23:30
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1199m,14%,1392Mi,17%,
kind-worker,46m,0%,368Mi,4%,
kind-worker2,163m,2%,414Mi,5%,
kind-worker3,51m,0%,395Mi,4%,
idx,50,LOG_TIME,2023-05-12T05:23:31,2023-05-12T00:23:32
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1100m,13%,1392Mi,17%,
kind-worker,43m,0%,367Mi,4%,
kind-worker2,159m,1%,414Mi,5%,
kind-worker3,54m,0%,392Mi,4%,
idx,51,LOG_TIME,2023-05-12T05:23:32,2023-05-12T00:23:32
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1100m,13%,1392Mi,17%,
kind-worker,43m,0%,367Mi,4%,
kind-worker2,159m,1%,414Mi,5%,
kind-worker3,54m,0%,392Mi,4%,
idx,52,LOG_TIME,2023-05-12T05:23:33,2023-05-12T00:23:33
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1100m,13%,1392Mi,17%,
kind-worker,43m,0%,367Mi,4%,
kind-worker2,159m,1%,414Mi,5%,
kind-worker3,54m,0%,392Mi,4%,
idx,53,LOG_TIME,2023-05-12T00:23:34,2023-05-12T00:23:34
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1100m,13%,1392Mi,17%,
kind-worker,43m,0%,367Mi,4%,
kind-worker2,159m,1%,414Mi,5%,
kind-worker3,54m,0%,392Mi,4%,
idx,54,LOG_TIME,2023-05-12T05:23:35,2023-05-12T00:23:35
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1100m,13%,1392Mi,17%,
kind-worker,43m,0%,367Mi,4%,
kind-worker2,159m,1%,414Mi,5%,
kind-worker3,54m,0%,392Mi,4%,
idx,55,LOG_TIME,2023-05-12T05:23:36,2023-05-12T00:23:37
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1100m,13%,1392Mi,17%,
kind-worker,43m,0%,367Mi,4%,
kind-worker2,159m,1%,414Mi,5%,
kind-worker3,54m,0%,392Mi,4%,
idx,56,LOG_TIME,2023-05-12T05:23:38,2023-05-12T00:23:38
