kind-control-plane,1018m,12%,848Mi,10%,
kind-worker,241m,3%,334Mi,4%,
kind-worker2,257m,3%,355Mi,4%,
kind-worker3,238m,2%,331Mi,4%,
idx,82,LOG_TIME,2023-05-18T15:19:58,2023-05-18T10:19:58,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1018m,12%,848Mi,10%,
kind-worker,241m,3%,334Mi,4%,
kind-worker2,257m,3%,355Mi,4%,
kind-worker3,238m,2%,331Mi,4%,
idx,83,LOG_TIME,2023-05-18T15:19:59,2023-05-18T10:19:59,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1018m,12%,848Mi,10%,
kind-worker,241m,3%,334Mi,4%,
kind-worker2,257m,3%,355Mi,4%,
kind-worker3,238m,2%,331Mi,4%,
idx,84,LOG_TIME,2023-05-18T15:20:00,2023-05-18T10:20:00,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1018m,12%,848Mi,10%,
kind-worker,241m,3%,334Mi,4%,
kind-worker2,257m,3%,355Mi,4%,
kind-worker3,238m,2%,331Mi,4%,
idx,85,LOG_TIME,2023-05-18T15:20:01,2023-05-18T10:20:01,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1018m,12%,848Mi,10%,
kind-worker,241m,3%,334Mi,4%,
